ZCTA5,LANDSQMT,POPULATION
4927,113631606,3486
4928,100175076,2198
4929,51499327,837
4930,139740820,4295
4932,93987426,1181
4933,240546,65
4936,1141865719,261
4937,134914945,6645
4938,317830320,9869
4939,97565112,1105
4940,1255054,118
4941,166233344,1751
4942,373661098,1326
4943,96168236,1792
4944,4163214,42
4945,2390964229,1242
4947,326929202,1852
4949,67341357,913
4950,134368258,4855
4951,104365450,906
4952,78207328,1829
4953,76224618,3228
4955,115414644,1362
4956,98267092,760
4957,210941928,4265
4958,142217834,1954
4961,757571415,972
4962,213898,125
4963,132085455,7238
4964,240427804,221
4965,103942088,1976
4966,516903826,1682
4967,125724789,4230
4969,76937416,1362
4970,597141754,1620
4971,116007384,2005
4973,97677739,1389
4974,74042852,2611
4975,142318,48
4976,257908035,9903
4978,39139863,799
4979,113560523,1064
4981,97912862,2316
4982,138241683,630
4983,389149885,1752
4984,61096111,523
4985,519193363,114
4986,143362761,1721
4987,90451120,1030
4988,128937902,2134
4989,114435388,4215
4992,154631,103
5001,111919352,9123
5031,25833524,218
5032,181174122,2664
5033,74903469,2744
5034,14710739,310
5035,82722713,638
5036,86424130,1037
5037,26949432,560
